CAMPUS,APPOINTMENT_TITLE,APPOINTING_DEPT,APPT_ANNUAL_FTR,APPT_FTR_BASIS,APPT_FRACTION,AMT_OF_SALARY_PAID_FROM_GENL_FUND
Ann Arbor,INPATIENT UNIT CLERK,MM UH CVC Clerical Svcs,32448.0,12-Month,0.8,0.0
Ann Arbor,IT ACAD/ADMIN DIV INTER DIR,MM Quality - Data Management,142000.0,12-Month,1.0,0.0
Ann Arbor,CLINICAL ASST PROF,MM PM&R,181081.0,12-Month,0.7,0.0
Ann Arbor,REGISTERED NURSE - LEVEL C,MM CW 12W,75441.6,12-Month,0.9,0.0
Ann Arbor,PROFESSOR,"School of Music,Theatre&Dance",218716.0,9-Month,1.0,218716.0
Ann Arbor,REGISTERED NURSE - LEVEL E,MM UH CVC 6A,92726.4,12-Month,1.0,0.0
Ann Arbor,PROFESSOR,Int Med-Cardiology,225000.0,12-Month,1.0,1851.75
Ann Arbor,LEO LECTURER III,Nutritional Sciences,95045.1,12-Month,1.0,47522.55
Ann Arbor,GENETIC COUNSELOR SR,MM CIF HCM Clinic,90234.84,12-Month,0.7,0.0
Ann Arbor,PATIENT LIFT/TRANSFER ASSOC,MM Logistics Patient Transport,40331.2,12-Month,1.0,0.0
Ann Arbor,INVENTORY CONTROL CLERK ASSOC,MM PAR Management,37870.82,12-Month,0.5,0.0
Ann Arbor,CLINICAL RES COORDINATOR HLTH,MM O-CTSU Study Coord Data,58959.51,12-Month,1.0,0.0
Ann Arbor,HOUSE OFFICER II,MM H.O. Radiology DR Core,65187.0,12-Month,1.0,0.0
Ann Arbor,MEDIA SERVICES MANAGER,MM Department of Radiology,104086.46,12-Month,1.0,0.0
Ann Arbor,PHARMACY TECHNICIAN SENIOR,MM Pharmacy Administration,49623.47,12-Month,1.0,0.0
Ann Arbor,INPATIENT UNIT CLERK,MM Nsg Clin Support Clerical,32604.0,12-Month,0.8,0.0
Ann Arbor,UNIT CUSTODIAN,MM Environmental Svcs - DAYS,37752.0,12-Month,1.0,0.0
Ann Arbor,RESEARCH AREA SPECIALIST ASSOC,Hlth Behavior & Hlth Ed Dept,45000.0,12-Month,0.75,0.0
Ann Arbor,ADMIN SPECIALIST ASSOC HEALTH,MM Frankel CVC Administration,69965.52,12-Month,1.0,0.0
Ann Arbor,PATIENT CARE TECH ASSOCIATE,MM CW Post Anes Care Unit-Mott,39814.51,12-Month,0.6,0.0
Ann Arbor,TRANSIT COACH OPERATOR,Transportation Services,52956.8,12-Month,1.0,0.0
Ann Arbor,TRANSIT COACH OPERATOR,Transportation Services,52956.8,12-Month,1.0,0.0
Ann Arbor,BUSINESS SYSTEMS ANALYST SR,MM HITS ETS InfraSvcs-MiChart,94579.87,12-Month,1.0,0.0
Ann Arbor,MEDICAL CODER INPATIENT,MM Rev Cycle (PTO),56860.1,12-Month,1.0,0.0
Ann Arbor,RESEARCH FELLOW,Life Sciences Institute-Admin,55596.0,12-Month,1.0,0.0
Ann Arbor,REGISTERED NURSE - LEVEL E,MM Adult Kidney Pre-Transplant,115960.0,12-Month,1.0,0.0
Ann Arbor,REGISTERED NURSE - LEVEL C,MM UH CVC CVC4,108326.4,12-Month,0.9,0.0
Ann Arbor,ACADEMIC RECORDS ASST INTER,Law School,43908.0,12-Month,1.0,43908.0
Ann Arbor,REGISTERED NURSE - LEVEL C,MM UH CVC 5C,70948.8,12-Month,0.9,0.0
Ann Arbor,LABORATORY TECHNICIAN,MM Path Specimen Processing,44336.57,12-Month,1.0,0.0
Ann Arbor,RESEARCH ADMINISTRATOR SR,MM Rogel Cancer Center,70654.0,12-Month,1.0,10598.1
Ann Arbor,NURSE ANESTHETIST,MM CW Anesthesia CRNA - Mott,230871.77,12-Month,1.0,0.0
Ann Arbor,ADJUNCT CLIN ASSOC PROF,School of Information,123750.0,12-Month,0.4,49500.0
Ann Arbor,ADMIN ASST SR HEALTHCARE,MM PM&R PT/OT ACU Adm Office,48439.13,12-Month,0.5,0.0
Ann Arbor,CLINICAL ASST PROF,MM Pathology Department,130000.0,12-Month,1.0,0.0
Ann Arbor,OPERATIONS TOP EXECUTIVE HLTH,MM Operations and Ancill Svcs,240000.0,12-Month,1.0,0.0
Ann Arbor,RESEARCH PROFESSOR,MM Ophthal. & Visual Science,175492.0,12-Month,1.0,8774.6
Ann Arbor,LEO LECTURER I,SOE- Teacher Education,53711.93,8-Month,1.0,52518.32
Ann Arbor,REGISTERED NURSE - LEVEL A,MM Emergency Department,66352.0,12-Month,1.0,0.0
Ann Arbor,FOOD SERVICE MANAGER,MM PFANS Special Proj,61036.98,12-Month,1.0,0.0
Ann Arbor,HOUSE OFFICER III,MM H.O. Emergency Med Core,68447.0,12-Month,1.0,0.0
Ann Arbor,CLINICAL PROFESSOR,MM Int Med-Cardiology,225000.0,12-Month,0.37,0.0
Ann Arbor,PATIENT TRANSPORTER,MM Logistics Patient Transport,37752.0,12-Month,1.0,0.0
Ann Arbor,STOCKKEEPER II,MM Mat'l Mgmt-Specialty Stckng,44553.6,12-Month,0.8,0.0
Ann Arbor,PA SURGICAL SPECIALTY,MM Surgery Pre-Op Center,105238.0,12-Month,1.0,0.0
Ann Arbor,REGISTERED NURSE - LEVEL A,MM Post Anes Care Unit - UH,69846.4,12-Month,1.0,0.0
Ann Arbor,CLINICAL SUBJECTS COORDINATOR,PHARMACY Clinical Pharmacy,53088.0,12-Month,1.0,0.0
Ann Arbor,CERTIFIED NURSE MIDWIFE,MM CW-Triage Midwives,143242.21,12-Month,0.6,0.0
Ann Arbor,RESEARCH FELLOW,MM Int Med-Hematology/Oncology,53760.0,12-Month,1.0,0.0
Ann Arbor,CUSTODIAN II,Student Life Facilities North,37752.0,12-Month,0.4,0.0
Ann Arbor,FOOD SERVICE ASSOCIATE SUPR,MM Patient Food Service,43979.55,12-Month,1.0,0.0
Ann Arbor,CLINICAL ASST PROF,MM Int Med-Infectious Diseases,159000.0,12-Month,1.0,0.0
Ann Arbor,ASSOC PROFESSOR,LSA American Culture,109694.0,9-Month,1.0,109694.0
Ann Arbor,CLINICAL INSTRUCTOR,MM Int Med-Hospital Medicine,207200.0,12-Month,1.0,0.0
Ann Arbor,OFFICE ADMIN ASSOC SUPR,ROSS SCH Operations,48564.46,12-Month,1.0,48564.48
Ann Arbor,REGISTERED NURSE - LEVEL C,MM CW VVWH,108326.4,12-Month,0.9,0.0
Ann Arbor,CLINICAL ASST PROF,MM Int Med-Rheumatology,172506.0,12-Month,0.8,0.0
Ann Arbor,CLINICAL ASST PROF,MM Pathology Department,137800.0,12-Month,1.0,0.0
Ann Arbor,ADMIN COORD/PROJECT COORD,School of Nursing,47197.5,12-Month,1.0,47197.5
Ann Arbor,CLINICAL INSTRUCTOR,DENT Prosthodontics,73440.0,12-Month,1.0,73440.0
Ann Arbor,CUSTODIAN II,Student Life Facilities Centra,39000.0,12-Month,1.0,0.0
Ann Arbor,REGISTERED NURSE - LEVEL A,MM UH CVC 8C,69846.4,12-Month,0.9,0.0
Ann Arbor,SOCIAL WORKER MSW,MM Soc Wrk - Adm & Guest Suprt,65026.26,12-Month,1.0,0.0
Ann Arbor,RESEARCH AREA SPECIALIST ASSOC,MM Family Medicine,41000.0,12-Month,0.5,0.0
Ann Arbor,PROFESSOR,Biostatistics Department,218250.0,9-Month,0.25,17194.28
Ann Arbor,MEDICAL ASSISTANT,MM Livonia Clinic Main,35196.95,12-Month,0.2,0.0
Ann Arbor,OPHTHALMIC TECHNICIAN SENIOR,MM KEC Neuro/Plastics,70432.74,12-Month,1.0,0.0
Ann Arbor,ASST PROFESSOR,LSA Classical Studies,84178.0,9-Month,1.0,84178.0
Ann Arbor,PROFESSOR,Psychiatry Department,220000.0,12-Month,1.0,93255.8
Ann Arbor,RESEARCH AREA SPECIALIST SR,School of Social Work,108211.8,12-Month,1.0,86569.44
Ann Arbor,HOUSE OFFICER II,MM H.O. Family Medicine,65187.0,12-Month,1.0,0.0
Ann Arbor,CUSTODIAN II,Building Services,39000.0,12-Month,1.0,39000.0
Ann Arbor,ELECTRICIAN,Construction Services,90022.4,12-Month,1.0,0.0
Ann Arbor,STOCKKEEPER I,MM Mat'l Mgmt - Warehouse Ops,40331.2,12-Month,1.0,0.0
Ann Arbor,REGISTERED NURSE - LEVEL C,MM CW VVWH,108326.4,12-Month,0.9,0.0
Ann Arbor,ADMIN ASST SR HEALTHCARE,MM Family Medicine,55148.59,12-Month,0.8,0.0
Ann Arbor,COOK I,MI Dining - Administration,39000.0,12-Month,1.0,0.0
Ann Arbor,FOOD SERVICE MANAGER,MM Patient Food Service,67490.09,12-Month,1.0,0.0
Ann Arbor,CASE MANAGER,Sexual Assault Prev and Aware,53594.88,12-Month,1.0,53594.88
Ann Arbor,TRAINING SPECIALIST SENIOR,Student Life Assoc VP-Fin & HR,66300.0,12-Month,1.0,66300.0
Ann Arbor,AMBULANCE COMM SPEC,MM Survival Flight,59987.2,12-Month,1.0,0.0
Ann Arbor,ASSOC PROFESSOR,MM Emergency Medicine UM Adult,225000.0,12-Month,0.5,0.0
Ann Arbor,PUBLIC RELATIONS REP SENIOR,Athletics,124879.0,12-Month,1.0,0.0
Ann Arbor,MARKETING MANAGER,Athletics,120818.0,12-Month,1.0,0.0
Ann Arbor,RESEARCH FELLOW,LSA Judaic Studies,75000.0,12-Month,1.0,0.0
