CAMPUS,APPOINTMENT_TITLE,APPOINTING_DEPT,APPT_ANNUAL_FTR,APPT_FTR_BASIS,APPT_FRACTION,AMT_OF_SALARY_PAID_FROM_GENL_FUND
Ann Arbor,UNIT CUSTODIAN,CW Environmental Svs-Days,36649.6,12,0.8,0.0
Ann Arbor,INPATIENT UNIT CLERK,UMH Nursing Clerical Services,30721.6,12,0.8,0.0
Ann Arbor,CLINICAL ASST PROF,PM&R,172787.18,12,0.7,0.0
Ann Arbor,PROFESSOR,"School of Music,Theatre&Dance",216929.45,9,1.0,216929.45
Ann Arbor,REGISTERED NURSE - LEVEL E,UMH 6A,87152.0,12,1.0,0.0
Ann Arbor,PROFESSOR,Int Med-Cardiology,225000.0,12,1.0,1939.5
Ann Arbor,LEO LECTURER III,Nutritional Sciences,92953.64,12,1.0,46476.82
Ann Arbor,GENETIC COUNSELOR SR,UMH CIF  HCM Clinic,87606.64,12,0.7,0.0
Ann Arbor,PATIENT LIFT/TRANSFER ASSOC,Logistics Patient Transport,39166.4,12,1.0,0.0
Ann Arbor,ADJUNCT RES ASST PROF,Ophthalmology & Visual Science,70000.0,12,0.16,0.0
Ann Arbor,INVENTORY CONTROL CLERK ASSOC,PAR Management,36767.94,12,1.0,0.0
Ann Arbor,CLINICAL RES COORDINATOR HLTH,O-CTSU Study Coordinator Data,56420.58,12,1.0,0.0
Ann Arbor,MEDIA SERVICES MANAGER,Department of Radiology,98272.41,12,1.0,0.0
Ann Arbor,PHARMACY TECHNICIAN SENIOR,UMH Pharmacy Administration,47033.54,12,1.0,0.0
Ann Arbor,INPATIENT UNIT CLERK,UMH Nursing Clerical Services,31096.0,12,0.8,0.0
Ann Arbor,UNIT CUSTODIAN,UMH Environmental Svcs - DAYS,36649.6,12,1.0,0.0
Ann Arbor,ADMIN SPECIALIST ASSOC HEALTH,UMH Frankel CVC Administration,67081.16,12,1.0,0.0
Ann Arbor,PATIENT CARE TECH ASSOCIATE,CW Post Anes Care Unit - Mott,36988.58,12,0.6,0.0
Ann Arbor,TRANSIT COACH OPERATOR,Transportation Services,51417.6,12,1.0,0.0
Ann Arbor,BUSINESS SYSTEMS ANALYST SR,HITS ETS InfraSvcs-MiChart,91501.75,12,1.0,0.0
Ann Arbor,MEDICAL CODER INPATIENT,MM Rev Cycle (PTO),55204.0,12,1.0,0.0
Ann Arbor,RESEARCH FELLOW,Life Sciences Institute-Admin,55596.0,12,1.0,0.0
Ann Arbor,REGISTERED NURSE - LEVEL E,Adult Kidney Pre-Transplant,112736.0,12,1.0,0.0
Ann Arbor,REGISTERED NURSE - LEVEL C,UMH Cardiovascular Center 4,105164.8,12,0.9,0.0
Ann Arbor,ACADEMIC RECORDS ASST INTER,Law School,43047.0,12,1.0,43047.0
Ann Arbor,LABORATORY TECHNICIAN,UMH Path Central Distrib,42225.18,12,1.0,0.0
Ann Arbor,FINANCIAL SPECIALIST INTER,Rogel Cancer Center,59475.84,12,1.0,8921.38
Ann Arbor,ADMIN ASST SR HEALTHCARE,UMH PMR IP OTPT Acute,47028.28,12,0.5,0.0
Ann Arbor,CLINICAL ASST PROF,Pathology Department,125000.0,12,1.0,0.0
Ann Arbor,FINANCIAL AID OFFICER SENIOR,Law School,67439.0,12,1.0,67439.0
Ann Arbor,SUPPLY CHAIN MGMT TOP EXEC HLT,Supply Chain Admin,192372.49,12,1.0,0.0
Ann Arbor,RESEARCH PROFESSOR,Ophthalmology & Visual Science,167135.0,12,1.0,8356.75
Ann Arbor,DOCUMENTATION SPECIALIST ASSOC,Facilities & Operations - IS,41600.0,12,1.0,0.0
Ann Arbor,LEO INTERMITTENT LECTURER,SOE- Teacher Education,52530.0,8,0.58,30125.12
Ann Arbor,FOOD SERVICE MANAGER,UMH PFANS Special Proj,58689.4,12,1.0,0.0
Ann Arbor,HOUSE OFFICER II,H.O. Emergency Medicine Core,63289.0,12,1.0,0.0
Ann Arbor,PATIENT TRANSPORTER,Logistics Patient Transport,36649.6,12,1.0,0.0
Ann Arbor,LEO INTERMITTENT LECTURER,Law School,60000.0,8,0.2,11865.2
Ann Arbor,STOCKKEEPER II,Mat'l Mgmt-Specialty Stocking,43264.0,12,0.8,0.0
Ann Arbor,CERTIFIED NURSE MIDWIFE,CW-Triage Midwives,139070.1,12,0.6,0.0
Ann Arbor,INSTRUCTIONAL LEARNING INTER,Center for Academic Innovation,51943.21,12,1.0,51943.21
Ann Arbor,FOOD SERVICE ASSOCIATE SUPR,UMH Food Procure/Production,42492.36,12,1.0,0.0
Ann Arbor,CLINICAL ASST PROF,Int Med-Infectious Diseases,150000.0,12,1.0,0.0
Ann Arbor,ASSOC PROFESSOR,LSA American Culture,107543.0,9,1.0,0.0
Ann Arbor,CLINICAL INSTRUCTOR,Int Med-Hospital Medicine,200000.0,12,1.0,0.0
Ann Arbor,OFFICE ADMIN ASSOC SUPR,ROSS SCH Operations,47149.96,12,1.0,47149.98
Ann Arbor,HOUSE OFFICER VII,H.O. IM Cardiology Advanced He,80774.0,12,1.0,0.0
Ann Arbor,REGISTERED NURSE - LEVEL C,VVWH,105164.8,12,0.9,0.0
Ann Arbor,CLINICAL LECTURER,Family Medicine,76754.0,12,1.0,0.0
Ann Arbor,CLINICAL INSTRUCTOR,Int Med-Rheumatology,147441.25,12,0.8,0.0
Ann Arbor,CLINICAL ASST PROF,Pathology Department,130000.0,12,1.0,0.0
Ann Arbor,ADMIN COORD/PROJECT COORD,School of Nursing,46499.96,12,1.0,46500.0
Ann Arbor,FINANCIAL SPECIALIST SENIOR,SMTD University Productions,76693.66,12,1.0,76693.66
Ann Arbor,CLINICAL LECTURER,DENT Prosthodontics,72000.0,12,1.0,72000.0
Ann Arbor,CUSTODIAN II,Facilities,37856.0,12,1.0,0.0
CAMPUS,APPOINTMENT TITLE,APPOINTING DEPT,,,,
,,,,,,
,,,FTR,BASIS,FRACTION,PAID FROM GENL
,,,,,,FUND
Ann Arbor,SOCIAL WORKER MSW,UMH Social Work,62979.43,12,0.95,0.0
Ann Arbor,MLTFCTN MAT MGMT INTER SUPR,Logistics Patient Equipment,48249.25,12,1.0,0.0
Ann Arbor,PROFESSOR,Biostatistics Department,212550.0,9,0.25,16398.23
Ann Arbor,OPHTHALMIC TECHNICIAN SENIOR,KEC Neuro/Plastics,70432.74,12,1.0,0.0
Ann Arbor,HOUSE OFFICER V,H.O. Path Molecular Genetic Fe,73265.0,12,1.0,0.0
Ann Arbor,ASST PROFESSOR,LSA Classical Studies,76620.0,9,0.5,38310.0
Ann Arbor,PROFESSOR,Psychiatry Department,220000.0,12,1.0,94030.2
Ann Arbor,RESEARCH AREA SPECIALIST SR,RCGD-Rsrch Cntr for Grp Dyn,101254.0,12,0.5,0.0
Ann Arbor,RESEARCH AREA SPECIALIST SR,School of Social Work,105060.0,12,0.5,26265.0
Ann Arbor,DESKTOP SUPPORT SPEC ASSOC,ITS SS MiWorkspace,44988.06,12,1.0,0.0
Ann Arbor,HOUSE OFFICER I,H.O. Family Medicine,60275.0,12,1.0,0.0
Ann Arbor,CUSTODIAN II,CW Environmental Svs-EVE,37856.0,12,1.0,0.0
Ann Arbor,ELECTRICIAN,Construction Services,87401.6,12,1.0,0.0
Ann Arbor,STOCKKEEPER I,Mat'l Mgmt - Warehouse Ops,39166.4,12,1.0,0.0
Ann Arbor,REGISTERED NURSE - LEVEL C,VVWH,105164.8,12,0.9,0.0
Ann Arbor,ADMIN ASST SR HEALTHCARE,Family Medicine,53542.33,12,0.8,0.0
Ann Arbor,COOK I,MI Dining - Administration,37856.0,12,1.0,0.0
